codigo_snies,cedula,programa,institucion,fecha_graduacion,tipo_titulo
SNIES-777364,1092218702,Derecho,,2020-12-11 21:40:40.687230,PROFESIONAL
SNIES-116765,1137547537,Economía,SENA Regional Bogotá,2024-12-27 21:40:41.233771,PROFESIONAL
SNIES-835957,1119258278,Tecnología en Electrónica,,2024-12-10 21:40:40.900242,TECNOLOGO
SNIES-550551,1096824056,Administración de Empresas,,2023-12-11 21:40:38.766264,PROFESIONAL
SNIES-535629,1103414370,Ingeniería de Sistemas,,2021-12-11 21:40:39.256592,PROFESIONAL
SNIES-470681,1084296365,Ingeniería de Sistemas,,2022-12-11 21:40:38.754844,PROFESIONAL
SNIES-416854,1147056964,Psicología,Institución Educativa José María Córdoba,2025-05-29 21:40:41.267920,PROFESIONAL
SNIES-396750,1117696661,Ingeniería de Sistemas,,2021-12-11 21:40:39.365549,PROFESIONAL
SNIES-535568,198950,Tecnología en Sistemas,,2024-12-10 21:40:41.081341,TECNOLOGO
SNIES-316311,1114484642,Contaduría Pública,SENA Regional Bogotá,2023-12-11 21:40:40.031080,PROFESIONAL
SNIES-981457,1088120545,Derecho,,2021-12-11 21:40:38.875308,PROFESIONAL
SNIES-816056,1098445605,Medicina,,2021-12-11 21:40:39.771450,PROFESIONAL
SNIES-231646,1112310056,Medicina,,2023-12-11 21:40:39.782647,PROFESIONAL
SNIES-775562,1091929685,Administración de Empresas,,2023-12-11 21:40:39.430335,PROFESIONAL
SNIES-593093,1243863273,Tecnología en Sistemas,,2024-12-10 21:40:41.083452,TECNOLOGO
SNIES-507918,1119647828,Tecnología en Contabilidad y Finanzas,Academia Superior de Gestión,2023-12-11 21:40:41.142792,TECNOLOGO
SNIES-775170,308218,Administración de Empresas,,2022-12-11 21:40:41.092335,PROFESIONAL
SNIES-477003,1100265655,Tecnología en Gestión Administrativa,Centro Educativo Los Pinos,2024-12-10 21:40:41.115293,TECNOLOGO
SNIES-841630,1101925573,Arquitectura,SENA Regional Valle del Cauca,2024-12-10 21:40:41.274677,PROFESIONAL
SNIES-973119,1107141649,Tecnología en Contabilidad y Finanzas,Instituto Digital Global,2024-12-10 21:40:41.158837,TECNOLOGO
SNIES-567600,1098523875,Derecho,,2019-12-12 21:40:40.997092,PROFESIONAL
SNIES-253299,1135918897,Ingeniería Civil,Colegio Departamental Simón Bolívar,2022-12-11 21:40:41.271574,PROFESIONAL
SNIES-746522,1117868652,Enfermería,,2022-12-11 21:40:38.874259,PROFESIONAL
SNIES-205769,1116671183,Tecnología en Sistemas,,2023-12-11 21:40:40.878508,TECNOLOGO
SNIES-563120,1106040277,Contaduría Pública,,2025-01-05 21:40:41.263597,PROFESIONAL
SNIES-358819,1103543182,Contaduría Pública,,2022-12-11 21:40:38.839908,PROFESIONAL
SNIES-894995,1080613754,Enfermería,,2017-12-12 21:40:40.368406,PROFESIONAL
SNIES-798883,1106917175,Tecnología en Electrónica,,2024-12-10 21:40:40.582678,TECNOLOGO
SNIES-960122,1129314588,Ingeniería Civil,SENA Regional Atlántico,2024-12-10 21:40:41.263126,PROFESIONAL
SNIES-726435,1132563586,Ingeniería Civil,Colegio Departamental Simón Bolívar,2024-12-10 21:40:41.288670,PROFESIONAL
SNIES-401155,1100375746,Medicina,,2022-12-11 21:40:39.544962,PROFESIONAL
SNIES-556957,900991,Contaduría Pública,,2024-12-10 21:40:41.090325,PROFESIONAL
SNIES-373781,1119231739,Ingeniería Civil,SENA Regional Atlántico,2025-10-05 21:40:41.252944,PROFESIONAL
SNIES-820598,1131413323,Derecho,SENA Regional Antioquia,2024-12-10 21:40:41.287544,PROFESIONAL
SNIES-412432,1106407785,Tecnología en Sistemas,SENA Regional Antioquia,2024-12-10 21:40:39.123953,TECNOLOGO
SNIES-921483,1105338318,Economía,,2024-12-10 21:40:39.426536,PROFESIONAL
SNIES-371641,1119484606,Tecnología en Sistemas,,2024-12-10 21:40:38.767463,TECNOLOGO
SNIES-326887,1118508608,Contaduría Pública,,2022-12-11 21:40:40.340797,PROFESIONAL
SNIES-483001,1097250214,Psicología,,2023-12-11 21:40:39.264484,PROFESIONAL
SNIES-605192,1098619776,Ingeniería Civil,,2022-12-11 21:40:38.556597,PROFESIONAL
SNIES-371695,1109615547,Tecnología en Contabilidad y Finanzas,,2024-12-10 21:40:40.104003,TECNOLOGO
SNIES-389971,1112980366,Ingeniería de Sistemas,,2023-12-11 21:40:40.685683,PROFESIONAL
SNIES-242025,1106346919,Psicología,,2024-12-10 21:40:40.080109,PROFESIONAL
SNIES-807042,1110807394,Enfermería,,2023-12-11 21:40:40.976728,PROFESIONAL
SNIES-290074,1108279013,Enfermería,,2023-12-11 21:40:40.748875,PROFESIONAL
SNIES-991279,1114744632,Derecho,SENA Regional Atlántico,2024-12-12 21:40:41.255052,PROFESIONAL
SNIES-985080,1241632985,Enfermería,,2023-12-11 21:40:41.100279,PROFESIONAL
SNIES-432418,1140944056,Ingeniería de Sistemas,SENA Regional Bogotá,2022-12-11 21:40:41.292569,PROFESIONAL
SNIES-397450,1087947688,Psicología,,2024-12-10 21:40:39.077375,PROFESIONAL
SNIES-768700,1104134942,Tecnología en Gestión Administrativa,,2024-12-10 21:40:40.361929,TECNOLOGO
SNIES-185040,1114223711,Tecnología en Gestión Administrativa,,2024-12-10 21:40:39.193124,TECNOLOGO
SNIES-397321,1117051620,Tecnología en Sistemas,,2024-12-10 21:40:39.575705,TECNOLOGO
SNIES-717565,1118563420,Tecnología en Sistemas,,2024-12-10 21:40:39.544055,TECNOLOGO
SNIES-318574,1101891037,Arquitectura,,2024-12-10 21:40:39.435832,PROFESIONAL
SNIES-741008,1094722496,Contaduría Pública,,2021-12-11 21:40:39.214087,PROFESIONAL
SNIES-889514,1103575930,Administración de Empresas,,2024-12-10 21:40:39.669464,PROFESIONAL
SNIES-633201,1112572452,Administración de Empresas,,2022-12-11 21:40:41.279174,PROFESIONAL
SNIES-554373,1111693141,Tecnología en Gestión Administrativa,,2024-12-10 21:40:40.383205,TECNOLOGO
SNIES-628023,1087352769,Administración de Empresas,,2025-08-09 21:40:41.245178,PROFESIONAL
SNIES-286813,1083907837,Administración de Empresas,,2020-12-11 21:40:38.604863,PROFESIONAL
SNIES-414373,1109019841,Derecho,,2024-12-10 21:40:39.949744,PROFESIONAL
SNIES-336920,1110963254,Medicina,,2024-12-10 21:40:38.807435,PROFESIONAL
SNIES-891004,1146434019,Administración de Empresas,,2024-12-19 21:40:41.214474,PROFESIONAL
SNIES-271848,1100559501,Psicología,,2023-12-11 21:40:38.607356,PROFESIONAL
SNIES-489443,1111395663,Psicología,,2024-12-10 21:40:39.729142,PROFESIONAL
SNIES-872218,1108491024,Economía,SENA Regional Valle del Cauca,2022-12-11 21:40:39.086209,PROFESIONAL
SNIES-794008,1108827079,Contaduría Pública,,2025-05-01 21:40:41.226180,PROFESIONAL
SNIES-559455,1092385003,Contaduría Pública,,2019-12-12 21:40:38.915327,PROFESIONAL
SNIES-657815,1144257683,Administración de Empresas,SENA Regional Bogotá,2023-12-11 21:40:41.311679,PROFESIONAL
SNIES-252317,1108158141,Tecnología en Gestión Administrativa,,2024-12-10 21:40:39.183493,TECNOLOGO
SNIES-945687,1099605179,Enfermería,,2020-12-11 21:40:38.653406,PROFESIONAL
SNIES-551703,1093994816,Contaduría Pública,,2018-12-12 21:40:38.920809,PROFESIONAL
SNIES-138487,1080636070,Economía,,2020-12-11 21:40:40.180914,PROFESIONAL
SNIES-982546,1118033199,Ingeniería de Sistemas,,2024-12-10 21:40:40.271926,PROFESIONAL
SNIES-610700,1115401246,Ingeniería Civil,,2023-12-11 21:40:40.139963,PROFESIONAL
SNIES-354469,1104003553,Administración de Empresas,SENA Regional Valle del Cauca,2024-12-10 21:40:41.322909,PROFESIONAL
SNIES-638669,1118128192,Economía,,2024-12-10 21:40:40.355063,PROFESIONAL
SNIES-537015,1093959667,Contaduría Pública,,2022-12-11 21:40:40.259581,PROFESIONAL
SNIES-494177,1091643678,Administración de Empresas,,2023-12-11 21:40:40.383033,PROFESIONAL
SNIES-651800,1099188261,Contaduría Pública,,2024-12-10 21:40:39.671639,PROFESIONAL
SNIES-221802,1097041340,Psicología,,2021-12-11 21:40:39.300640,PROFESIONAL
SNIES-278814,1103667200,Tecnología en Electrónica,,2024-12-10 21:40:39.527864,TECNOLOGO
SNIES-249326,1082370689,Ingeniería de Sistemas,,2025-09-02 21:40:41.254000,PROFESIONAL
SNIES-233353,1134934668,Enfermería,Colegio Distrital San Francisco,2023-12-11 21:40:41.287368,PROFESIONAL
SNIES-869019,1090157643,Ingeniería Civil,,2024-12-10 21:40:40.362757,PROFESIONAL
SNIES-242010,1103916437,Enfermería,SENA Regional Bogotá,2024-12-10 21:40:38.822830,PROFESIONAL
SNIES-254888,1084216481,Enfermería,,2022-12-11 21:40:38.649771,PROFESIONAL
SNIES-396722,1103108157,Tecnología en Contabilidad y Finanzas,,2024-12-10 21:40:39.328909,TECNOLOGO
SNIES-474545,1143502162,Psicología,Colegio Distrital San Francisco,2025-02-25 21:40:41.246301,PROFESIONAL
SNIES-913015,1109857298,Ingeniería Civil,,2022-12-11 21:40:40.688410,PROFESIONAL
SNIES-661597,1147796781,Arquitectura,Colegio Nacional Loperena,2025-03-29 21:40:41.215266,PROFESIONAL
SNIES-772622,1088042634,Ingeniería Civil,,2022-12-11 21:40:39.897793,PROFESIONAL
SNIES-180380,1117745834,Tecnología en Contabilidad y Finanzas,,2024-12-10 21:40:38.937087,TECNOLOGO
SNIES-236762,1113544486,Ingeniería Civil,,2024-12-10 21:40:38.806083,PROFESIONAL
SNIES-388370,1102385677,Administración de Empresas,,2024-12-10 21:40:39.773209,PROFESIONAL
SNIES-590884,195286,Tecnología en Sistemas,,2024-12-10 21:40:41.061134,TECNOLOGO
SNIES-212445,1104673050,Tecnología en Sistemas,,2024-12-10 21:40:38.781829,TECNOLOGO
SNIES-552134,1109046723,Tecnología en Gestión Administrativa,,2023-12-11 21:40:38.716124,TECNOLOGO
SNIES-569120,1095475769,Medicina,,2023-12-11 21:40:39.312921,PROFESIONAL
SNIES-505373,1111276705,Enfermería,,2024-12-10 21:40:39.874074,PROFESIONAL
SNIES-610070,1108014236,Arquitectura,,2024-12-10 21:40:40.393805,PROFESIONAL
SNIES-691234,1082531087,Enfermería,,2020-12-11 21:40:39.871265,PROFESIONAL
SNIES-927529,1108376821,Enfermería,SENA Regional Bogotá,2025-05-22 21:40:41.231270,PROFESIONAL
SNIES-995455,1091978478,Medicina,,2023-12-11 21:40:40.184771,PROFESIONAL
SNIES-967976,1109264271,Ingeniería Civil,,2024-12-10 21:40:39.637929,PROFESIONAL
SNIES-527363,1119908992,Derecho,,2025-10-01 21:40:41.205781,PROFESIONAL
SNIES-513414,1100291374,Derecho,,2023-12-11 21:40:40.714574,PROFESIONAL
SNIES-338344,1117289710,Economía,,2025-10-31 21:40:41.236756,PROFESIONAL
SNIES-327941,1099973092,Ingeniería de Sistemas,,2022-12-11 21:40:40.177229,PROFESIONAL
SNIES-563737,1104608692,Tecnología en Contabilidad y Finanzas,SENA Regional Atlántico,2024-12-10 21:40:39.016814,TECNOLOGO
SNIES-956629,1109874143,Ingeniería de Sistemas,,2023-12-11 21:40:40.502913,PROFESIONAL
SNIES-783621,1143431523,Contaduría Pública,,2022-12-11 21:40:41.294321,PROFESIONAL
SNIES-841117,1149437118,Arquitectura,SENA Regional Antioquia,2024-12-27 21:40:41.217837,PROFESIONAL
SNIES-564646,1096959334,Ingeniería Civil,,2019-12-12 21:40:39.138313,PROFESIONAL
SNIES-728948,1113143281,Ingeniería Civil,,2024-12-10 21:40:39.747084,PROFESIONAL
SNIES-215217,1114473130,Administración de Empresas,,2021-12-11 21:40:40.123967,PROFESIONAL
SNIES-968684,760620,Economía,,2023-12-11 21:40:41.019933,PROFESIONAL
SNIES-910984,1085598525,Arquitectura,,2022-12-11 21:40:40.629467,PROFESIONAL
SNIES-822071,1098863250,Enfermería,,2020-12-11 21:40:40.080270,PROFESIONAL
SNIES-488895,1105467338,Derecho,Instituto Digital Global,2023-12-11 21:40:41.172806,PROFESIONAL
SNIES-814280,1109215994,Tecnología en Electrónica,,2024-12-10 21:40:38.707682,TECNOLOGO
SNIES-235914,1084313659,Psicología,SENA Regional Antioquia,2023-12-11 21:40:39.439056,PROFESIONAL
SNIES-822713,1114439646,Tecnología en Gestión Administrativa,SENA Regional Antioquia,2024-12-10 21:40:40.005810,TECNOLOGO
SNIES-367775,1111612695,Enfermería,,2023-12-11 21:40:39.860998,PROFESIONAL
SNIES-452193,1113249611,Tecnología en Contabilidad y Finanzas,,2024-12-10 21:40:39.428311,TECNOLOGO
SNIES-419469,1106027301,Ingeniería Civil,,2021-12-11 21:40:40.550994,PROFESIONAL
SNIES-480980,1118319510,Psicología,,2025-07-31 21:40:41.202484,PROFESIONAL
SNIES-597523,1091568876,Administración de Empresas,,2022-12-11 21:40:39.764839,PROFESIONAL
SNIES-393467,1112423464,Enfermería,,2024-12-10 21:40:40.979584,PROFESIONAL
SNIES-883138,1102765020,Tecnología en Contabilidad y Finanzas,,2024-12-10 21:40:39.067924,TECNOLOGO
SNIES-749166,1293064190,Tecnología en Contabilidad y Finanzas,,2024-12-10 21:40:41.019296,TECNOLOGO
SNIES-103621,1097379136,Ingeniería de Sistemas,SENA Regional Bogotá,2020-12-11 21:40:39.804238,PROFESIONAL
SNIES-520701,1091830539,Enfermería,,2023-12-11 21:40:39.796656,PROFESIONAL
SNIES-947297,1091821596,Ingeniería Civil,SENA Regional Atlántico,2024-12-26 21:40:41.225133,PROFESIONAL
SNIES-378566,1018622437,Ingeniería de Sistemas,SENA Regional Valle del Cauca,2023-12-11 21:40:41.274918,PROFESIONAL
SNIES-473676,1104894797,Derecho,,2023-12-11 21:40:40.339368,PROFESIONAL
SNIES-290608,1086707399,Ingeniería Civil,,2024-12-10 21:40:38.808270,PROFESIONAL
SNIES-996000,1103371918,Psicología,,2024-12-10 21:40:40.721652,PROFESIONAL
SNIES-551290,1106638973,Tecnología en Sistemas,,2024-12-10 21:40:40.227426,TECNOLOGO
SNIES-680965,1101418485,Tecnología en Electrónica,,2024-12-10 21:40:39.783246,TECNOLOGO
SNIES-794459,1105642808,Economía,SENA Regional Antioquia,2024-12-10 21:40:41.299781,PROFESIONAL
SNIES-422023,1083339643,Ingeniería Civil,,2018-12-12 21:40:40.819620,PROFESIONAL
SNIES-948084,1111312553,Ingeniería Civil,,2024-12-10 21:40:40.169731,PROFESIONAL
SNIES-120599,1088085569,Psicología,,2022-12-11 21:40:39.631523,PROFESIONAL
SNIES-151485,1102101998,Tecnología en Sistemas,,2024-12-10 21:40:40.227934,TECNOLOGO
SNIES-114888,1112963547,Tecnología en Sistemas,,2023-12-11 21:40:40.724300,TECNOLOGO
SNIES-948320,1118930966,Tecnología en Sistemas,,2024-12-10 21:40:39.235319,TECNOLOGO
SNIES-182157,1084657823,Economía,,2023-12-11 21:40:40.868316,PROFESIONAL
SNIES-745862,1110902217,Ingeniería Civil,,2024-12-10 21:40:41.276707,PROFESIONAL
SNIES-583383,1111875082,Tecnología en Gestión Administrativa,,2024-12-10 21:40:40.691301,TECNOLOGO
SNIES-410013,1097311355,Enfermería,,2022-12-11 21:40:40.219301,PROFESIONAL
SNIES-210820,1128479648,Administración de Empresas,SENA Regional Atlántico,2022-12-11 21:40:41.310658,PROFESIONAL
SNIES-857579,1114694145,Tecnología en Gestión Administrativa,,2024-12-10 21:40:40.783591,TECNOLOGO
SNIES-625813,1106695328,Psicología,,2025-07-12 21:40:41.260691,PROFESIONAL
SNIES-606239,1293840356,Contaduría Pública,SENA Regional Valle del Cauca,2019-12-12 21:40:41.099308,PROFESIONAL
SNIES-429343,1114842864,Psicología,,2024-12-10 21:40:39.439111,PROFESIONAL
SNIES-308529,1137960751,Ingeniería de Sistemas,Colegio Nacional Loperena,2025-01-13 21:40:41.209887,PROFESIONAL
SNIES-470630,1111686850,Psicología,,2022-12-11 21:40:39.964809,PROFESIONAL
SNIES-620775,1126278858,Arquitectura,Institución Educativa José María Córdoba,2025-05-15 21:40:41.224409,PROFESIONAL
SNIES-885389,1080464876,Enfermería,,2023-12-11 21:40:38.936588,PROFESIONAL
SNIES-585823,1247549331,Derecho,,2024-12-10 21:40:41.026386,PROFESIONAL
SNIES-125644,1084821333,Psicología,,2022-12-11 21:40:39.750317,PROFESIONAL
SNIES-404581,1102935215,Ingeniería Civil,,2022-12-11 21:40:40.551049,PROFESIONAL
SNIES-387924,1091628240,Ingeniería Civil,,2019-12-12 21:40:38.775319,PROFESIONAL
SNIES-608165,1091211279,Arquitectura,,2023-12-11 21:40:41.302207,PROFESIONAL
SNIES-982114,1114314043,Tecnología en Electrónica,SENA Regional Antioquia,2024-12-10 21:40:39.345943,TECNOLOGO
SNIES-205333,1092163471,Psicología,Universidad Virtual del Caribe Online,2024-12-10 21:40:41.128352,PROFESIONAL
SNIES-657618,1143282304,Enfermería,Institución Educativa José María Córdoba,2025-02-01 21:40:41.197775,PROFESIONAL
SNIES-145539,1115115742,Economía,,2024-12-10 21:40:40.310821,PROFESIONAL
SNIES-371297,1085731949,Ingeniería de Sistemas,,2023-12-11 21:40:38.733174,PROFESIONAL
SNIES-653440,1110957824,Administración de Empresas,,2022-12-11 21:40:41.282460,PROFESIONAL
SNIES-863724,1082416176,Enfermería,,2022-12-11 21:40:40.451084,PROFESIONAL
SNIES-514792,1101098326,Medicina,,2024-12-10 21:40:41.254523,PROFESIONAL
SNIES-451101,1099902375,Economía,,2022-12-11 21:40:39.348099,PROFESIONAL
SNIES-664909,1102505303,Ingeniería Civil,,2024-12-10 21:40:39.029084,PROFESIONAL
SNIES-701747,1105317000,Enfermería,SENA Regional Antioquia,2024-12-10 21:40:39.567991,PROFESIONAL
SNIES-744017,1091526333,Arquitectura,,2024-12-10 21:40:40.215532,PROFESIONAL
SNIES-864501,1102245133,Tecnología en Sistemas,,2024-12-10 21:40:40.914941,TECNOLOGO
SNIES-734281,1117818789,Psicología,,2024-12-10 21:40:39.814533,PROFESIONAL
SNIES-538311,1108540468,Tecnología en Contabilidad y Finanzas,,2024-12-10 21:40:40.600264,TECNOLOGO
SNIES-229776,1113406026,Derecho,,2025-02-19 21:40:41.243731,PROFESIONAL
SNIES-114727,1248000894,Derecho,,2018-12-12 21:40:41.057429,PROFESIONAL
SNIES-898496,1117555286,Administración de Empresas,,2022-12-11 21:40:40.911051,PROFESIONAL
SNIES-599527,1103645911,Tecnología en Contabilidad y Finanzas,,2023-12-11 21:40:40.142358,TECNOLOGO
SNIES-361251,1080192408,Derecho,,2021-12-11 21:40:40.566679,PROFESIONAL
SNIES-648525,1103881507,Tecnología en Gestión Administrativa,,2024-12-10 21:40:39.685843,TECNOLOGO
SNIES-146420,1102247034,Enfermería,,2024-12-10 21:40:39.098683,PROFESIONAL
SNIES-714651,1110949436,Medicina,,2022-12-11 21:40:39.721209,PROFESIONAL
SNIES-253929,1113010008,Contaduría Pública,,2024-12-10 21:40:39.075776,PROFESIONAL
SNIES-703614,1105831593,Tecnología en Contabilidad y Finanzas,,2024-12-10 21:40:39.600756,TECNOLOGO
SNIES-706548,1094490946,Administración de Empresas,,2019-12-12 21:40:40.369067,PROFESIONAL
SNIES-456710,1106719168,Tecnología en Electrónica,,2023-12-11 21:40:40.303390,TECNOLOGO
SNIES-771425,1114041353,Medicina,,2023-12-11 21:40:38.777760,PROFESIONAL
SNIES-777501,1121283891,Medicina,SENA Regional Atlántico,2025-06-21 21:40:41.203858,PROFESIONAL
SNIES-234374,1082605913,Economía,,2024-12-10 21:40:39.853636,PROFESIONAL
SNIES-883064,1102382574,Medicina,,2022-12-11 21:40:38.670477,PROFESIONAL
SNIES-310790,1087982179,Derecho,,2019-12-12 21:40:39.373315,PROFESIONAL
SNIES-900715,1102779030,Ingeniería Civil,,2024-12-10 21:40:39.628430,PROFESIONAL
SNIES-453353,1113816361,Administración de Empresas,,2024-12-10 21:40:40.621268,PROFESIONAL
SNIES-911511,1086230252,Psicología,Universidad Virtual del Caribe Online,2021-12-11 21:40:41.116440,PROFESIONAL
SNIES-135954,1115344795,Tecnología en Gestión Administrativa,,2024-12-10 21:40:39.231719,TECNOLOGO
SNIES-733135,1080309364,Administración de Empresas,,2021-12-11 21:40:40.314418,PROFESIONAL
SNIES-389783,1131553811,Contaduría Pública,Colegio Nacional Loperena,2024-12-10 21:40:41.289969,PROFESIONAL
SNIES-325210,1137501239,Economía,SENA Regional Atlántico,2022-12-11 21:40:41.308079,PROFESIONAL
SNIES-905308,1092139732,Ingeniería Civil,,2023-12-11 21:40:40.025965,PROFESIONAL
SNIES-754374,1089307755,Medicina,,2021-12-11 21:40:39.457031,PROFESIONAL
SNIES-403154,1106809845,Ingeniería de Sistemas,,2024-12-10 21:40:39.165675,PROFESIONAL
SNIES-832106,1104980142,Medicina,,2024-12-10 21:40:38.900663,PROFESIONAL
SNIES-434020,1086926079,Ingeniería de Sistemas,SENA Regional Bogotá,2025-07-31 21:40:41.223198,PROFESIONAL
SNIES-856122,1115988861,Administración de Empresas,SENA Regional Bogotá,2025-02-01 21:40:41.236100,PROFESIONAL
SNIES-729616,1118660474,Economía,,2022-12-11 21:40:39.687785,PROFESIONAL
SNIES-648885,1138901086,Administración de Empresas,Colegio Departamental Simón Bolívar,2025-05-08 21:40:41.211770,PROFESIONAL
SNIES-386499,1115178515,Economía,,2024-12-10 21:40:40.732646,PROFESIONAL
SNIES-532020,1104739571,Arquitectura,,2024-12-10 21:40:38.684145,PROFESIONAL
SNIES-102161,1116461027,Ingeniería Civil,,2023-12-11 21:40:40.693379,PROFESIONAL
SNIES-165319,1100203277,Enfermería,,2024-12-10 21:40:40.279826,PROFESIONAL
SNIES-694871,1109161834,Tecnología en Contabilidad y Finanzas,,2024-12-10 21:40:39.697564,TECNOLOGO
SNIES-316296,1094427027,Arquitectura,,2020-12-11 21:40:40.323608,PROFESIONAL
SNIES-251719,1098135174,Psicología,SENA Regional Antioquia,2023-12-11 21:40:40.141734,PROFESIONAL
SNIES-943268,1118813792,Ingeniería Civil,,2024-12-10 21:40:41.316826,PROFESIONAL
SNIES-517855,1127265877,Contaduría Pública,SENA Regional Antioquia,2025-02-25 21:40:41.259733,PROFESIONAL
SNIES-717076,1096082385,Administración de Empresas,,2023-12-11 21:40:40.931059,PROFESIONAL
SNIES-332823,1115372962,Administración de Empresas,,2025-01-09 21:40:41.212847,PROFESIONAL
SNIES-453570,1119255376,Psicología,,2024-12-10 21:40:39.346064,PROFESIONAL
SNIES-900122,1102103723,Enfermería,,2022-12-11 21:40:40.130315,PROFESIONAL
SNIES-900634,1100459028,Medicina,,2024-12-10 21:40:38.987388,PROFESIONAL
SNIES-941876,1104244943,Psicología,,2023-12-11 21:40:38.916499,PROFESIONAL
SNIES-638967,1082406534,Derecho,,2023-12-11 21:40:39.631310,PROFESIONAL
SNIES-630610,1087422266,Arquitectura,,2019-12-12 21:40:39.440288,PROFESIONAL
SNIES-610470,1116682726,Enfermería,,2024-12-10 21:40:40.164778,PROFESIONAL
SNIES-818202,1110008045,Tecnología en Gestión Administrativa,,2024-12-10 21:40:40.919367,TECNOLOGO
SNIES-275122,1097270183,Ingeniería Civil,,2020-12-11 21:40:39.107181,PROFESIONAL
SNIES-761243,1091806603,Derecho,,2023-12-11 21:40:41.284744,PROFESIONAL
SNIES-410775,1111649528,Tecnología en Sistemas,,2024-12-10 21:40:39.676297,TECNOLOGO
SNIES-758829,1115579487,Contaduría Pública,,2022-12-11 21:40:40.381582,PROFESIONAL
SNIES-634737,1084565087,Ingeniería Civil,,2024-12-10 21:40:41.315751,PROFESIONAL
SNIES-560561,1108968696,Contaduría Pública,,2023-12-11 21:40:39.541955,PROFESIONAL
SNIES-348896,1116839420,Contaduría Pública,,2024-12-10 21:40:40.373397,PROFESIONAL
SNIES-463306,1108413266,Enfermería,,2024-12-10 21:40:41.314552,PROFESIONAL
SNIES-194739,1082539056,Medicina,SENA Regional Valle del Cauca,2022-12-11 21:40:39.395440,PROFESIONAL
SNIES-993887,1102013953,Ingeniería Civil,,2022-12-11 21:40:40.946145,PROFESIONAL
SNIES-408368,1105578542,Ingeniería de Sistemas,,2024-12-10 21:40:39.733562,PROFESIONAL
SNIES-127512,1111501496,Contaduría Pública,SENA Regional Bogotá,2022-12-11 21:40:41.294756,PROFESIONAL
SNIES-312197,1099813465,Administración de Empresas,SENA Regional Valle del Cauca,2023-12-11 21:40:39.735646,PROFESIONAL
SNIES-723324,1107214902,Administración de Empresas,,2023-12-11 21:40:38.787720,PROFESIONAL
SNIES-685665,1105595264,Derecho,,2022-12-11 21:40:38.857474,PROFESIONAL
SNIES-540563,1118024109,Tecnología en Sistemas,,2024-12-10 21:40:39.424392,TECNOLOGO
SNIES-623822,1105355716,Contaduría Pública,Instituto Digital Global,2024-12-10 21:40:41.162995,PROFESIONAL
SNIES-827595,1099835653,Economía,,2024-12-10 21:40:40.692547,PROFESIONAL
SNIES-819984,1117084499,Contaduría Pública,,2024-12-10 21:40:39.589986,PROFESIONAL
