sisben_id,cedula,sisben_nivel,sisben_puntaje,departamento,municipio,fecha_actualizacion
53,1097217918,A,24.66,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
54,1005232752,A,15.55,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
55,1119568591,B,49.45,Atlántico,Atlántico,2025-03-30 21:40:41.540111
56,1092533789,C,55.83,Antioquia,Antioquia,2025-03-30 21:40:41.540111
57,1100369040,C,60.45,Antioquia,Antioquia,2025-03-30 21:40:41.540111
58,1145695944,A,35.4,Atlántico,Atlántico,2025-03-30 21:40:41.540111
59,1102597089,C,58.12,Atlántico,Atlántico,2025-03-30 21:40:41.540111
60,1081375585,B,47.32,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
61,1115965858,C,64.74,Atlántico,Atlántico,2025-03-30 21:40:41.540111
62,1111961774,D,97.87,Antioquia,Antioquia,2025-03-30 21:40:41.540111
63,1129453037,A,26.77,Atlántico,Atlántico,2025-03-30 21:40:41.540111
64,1102902596,A,30.4,Atlántico,Atlántico,2025-03-30 21:40:41.540111
65,1121580159,C,63.75,Atlántico,Atlántico,2025-03-30 21:40:41.540111
66,1111697271,B,53.08,Atlántico,Atlántico,2025-03-30 21:40:41.540111
67,1103065338,D,95.85,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
68,1139562152,A,9.28,Atlántico,Atlántico,2025-03-30 21:40:41.540111
69,1096989913,A,37.63,Antioquia,Antioquia,2025-03-30 21:40:41.540111
70,1122144783,D,72.17,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
71,1108145673,C,58.37,Antioquia,Antioquia,2025-03-30 21:40:41.540111
72,1214070984,C,62.07,Antioquia,Antioquia,2025-03-30 21:40:41.540111
73,1117648260,B,47.65,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
74,1105376125,A,19.72,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
75,1087231344,C,63.66,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
76,1047957574,B,44.16,Atlántico,Atlántico,2025-03-30 21:40:41.540111
77,1135330336,B,47.94,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
78,1112359665,C,60.86,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
79,1119467400,A,10.1,Antioquia,Antioquia,2025-03-30 21:40:41.540111
80,1137117788,C,58.78,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
81,1103869097,C,62.76,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
82,1100136976,B,49.05,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
83,1054531242,B,44.83,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
84,1109298281,C,61.91,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
85,1010510086,B,47.24,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
86,1111220873,A,10.77,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
87,1132246914,C,61.21,Atlántico,Atlántico,2025-03-30 21:40:41.540111
88,1140451059,B,47.54,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
89,1125459936,A,13.7,Antioquia,Antioquia,2025-03-30 21:40:41.540111
90,1102511267,B,50.8,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
91,1105159751,B,42.74,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
92,1103850433,A,23.2,Antioquia,Antioquia,2025-03-30 21:40:41.540111
93,1108950886,C,56.75,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
94,1097957959,B,45.0,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
95,1141913179,C,60.21,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
96,1144735153,C,61.65,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
97,1146657966,B,45.23,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
98,1108717120,B,53.97,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
99,1111130205,C,57.7,Atlántico,Atlántico,2025-03-30 21:40:41.540111
100,1143340023,C,61.36,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
101,1145450841,A,38.69,Antioquia,Antioquia,2025-03-30 21:40:41.540111
102,1142054256,C,58.05,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
103,1075613955,A,11.54,Antioquia,Antioquia,2025-03-30 21:40:41.540111
104,1114493369,B,46.0,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
105,1149875757,C,58.11,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
106,1090708733,A,32.54,Atlántico,Atlántico,2025-03-30 21:40:41.540111
107,1086970390,B,50.53,Atlántico,Atlántico,2025-03-30 21:40:41.540111
108,1113575976,C,64.05,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
109,1083891696,A,25.12,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
110,1146538708,C,57.67,Atlántico,Atlántico,2025-03-30 21:40:41.540111
111,1114306746,A,24.37,Antioquia,Antioquia,2025-03-30 21:40:41.540111
112,1101269790,A,5.89,Antioquia,Antioquia,2025-03-30 21:40:41.540111
113,1113926934,C,61.77,Atlántico,Atlántico,2025-03-30 21:40:41.540111
114,1108826926,D,80.03,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
115,600830,A,29.76,Antioquia,Antioquia,2025-03-30 21:40:41.540111
116,1147802671,A,20.76,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
117,1092223686,B,41.01,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
118,1148517628,A,13.55,Atlántico,Atlántico,2025-03-30 21:40:41.540111
119,1123435346,B,45.04,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
120,1099116188,B,48.8,Antioquia,Antioquia,2025-03-30 21:40:41.540111
121,1147625926,B,41.77,Antioquia,Antioquia,2025-03-30 21:40:41.540111
122,1116994653,A,30.79,Antioquia,Antioquia,2025-03-30 21:40:41.540111
123,1100425689,B,48.52,Antioquia,Antioquia,2025-03-30 21:40:41.540111
124,1134195890,C,57.89,Atlántico,Atlántico,2025-03-30 21:40:41.540111
125,1100774713,D,92.63,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
126,1141484188,A,38.61,Atlántico,Atlántico,2025-03-30 21:40:41.540111
127,1120603559,C,62.5,Atlántico,Atlántico,2025-03-30 21:40:41.540111
128,1092533563,D,90.66,Antioquia,Antioquia,2025-03-30 21:40:41.540111
129,1269800476,B,45.78,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
130,1085398125,A,11.11,Atlántico,Atlántico,2025-03-30 21:40:41.540111
131,1080562904,D,90.14,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
132,1092218702,B,44.24,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
133,1101621257,B,48.98,Atlántico,Atlántico,2025-03-30 21:40:41.540111
134,1137547537,B,49.38,Atlántico,Atlántico,2025-03-30 21:40:41.540111
135,1119258278,A,31.45,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
136,1115533632,A,29.87,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
137,1142114896,C,63.18,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
138,1086927011,C,60.86,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
139,1096824056,A,1.3,Antioquia,Antioquia,2025-03-30 21:40:41.540111
140,1103414370,B,47.08,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
141,1121474391,C,55.38,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
142,1148957663,B,49.57,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
143,1125860224,A,39.88,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
144,1084296365,A,33.29,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
145,1103270376,B,49.43,Atlántico,Atlántico,2025-03-30 21:40:41.540111
146,1004823673,D,75.06,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
147,1098911734,B,51.51,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
148,1121089810,D,96.46,Antioquia,Antioquia,2025-03-30 21:40:41.540111
149,1126909069,B,42.75,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
150,1130684001,C,59.45,Antioquia,Antioquia,2025-03-30 21:40:41.540111
151,1147056964,B,53.53,Atlántico,Atlántico,2025-03-30 21:40:41.540111
152,1117696661,C,56.8,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
153,1136994260,C,57.69,Antioquia,Antioquia,2025-03-30 21:40:41.540111
154,1108596304,B,50.13,Antioquia,Antioquia,2025-03-30 21:40:41.540111
155,1102647118,B,46.78,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
156,1104740903,B,42.65,Atlántico,Atlántico,2025-03-30 21:40:41.540111
157,198950,B,47.09,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
158,1114484642,B,46.91,Atlántico,Atlántico,2025-03-30 21:40:41.540111
159,1088120545,B,53.65,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
160,1141030337,A,8.43,Atlántico,Atlántico,2025-03-30 21:40:41.540111
161,1126524243,C,63.37,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
162,1096238519,B,43.67,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
163,1098445605,C,64.63,Antioquia,Antioquia,2025-03-30 21:40:41.540111
164,1110943564,C,61.48,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
165,1129073273,B,41.5,Antioquia,Antioquia,2025-03-30 21:40:41.540111
166,1116175262,B,49.32,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
167,1114281700,C,57.04,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
168,1116764129,A,6.45,Antioquia,Antioquia,2025-03-30 21:40:41.540111
169,1126521710,B,53.72,Atlántico,Atlántico,2025-03-30 21:40:41.540111
170,1117114176,B,42.86,Antioquia,Antioquia,2025-03-30 21:40:41.540111
171,1087656299,B,51.66,Atlántico,Atlántico,2025-03-30 21:40:41.540111
172,1125960489,B,51.33,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
173,1112310056,B,45.71,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
174,1106059816,B,47.53,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
175,1112000352,A,38.49,Atlántico,Atlántico,2025-03-30 21:40:41.540111
176,1091929685,A,2.63,Antioquia,Antioquia,2025-03-30 21:40:41.540111
177,1108663785,C,57.59,Atlántico,Atlántico,2025-03-30 21:40:41.540111
178,1130336119,B,50.2,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
179,1243863273,B,52.99,Atlántico,Atlántico,2025-03-30 21:40:41.540111
180,1115381319,B,43.62,Atlántico,Atlántico,2025-03-30 21:40:41.540111
181,1142733287,B,47.26,Atlántico,Atlántico,2025-03-30 21:40:41.540111
182,1119647828,C,61.27,Atlántico,Atlántico,2025-03-30 21:40:41.540111
183,1113829521,C,62.4,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
184,308218,C,64.07,Atlántico,Atlántico,2025-03-30 21:40:41.540111
185,1106984436,A,39.58,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
186,1101176880,B,43.69,Atlántico,Atlántico,2025-03-30 21:40:41.540111
187,1131559931,C,58.08,Antioquia,Antioquia,2025-03-30 21:40:41.540111
188,1144693562,C,62.99,Antioquia,Antioquia,2025-03-30 21:40:41.540111
189,1145234944,B,45.2,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
190,1100265655,B,51.09,Atlántico,Atlántico,2025-03-30 21:40:41.540111
191,1100174549,A,2.25,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
192,1107256382,A,17.58,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
193,1086961732,B,51.47,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
194,1119173325,A,36.33,Antioquia,Antioquia,2025-03-30 21:40:41.540111
195,1106179509,B,52.85,Atlántico,Atlántico,2025-03-30 21:40:41.540111
196,1101925573,A,18.35,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
197,1111316034,B,51.89,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
198,1110879937,B,47.25,Antioquia,Antioquia,2025-03-30 21:40:41.540111
199,1109657362,B,45.12,Antioquia,Antioquia,2025-03-30 21:40:41.540111
200,1107141649,C,60.4,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
201,1098523875,C,60.86,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
202,1088506669,C,58.77,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
203,1250185214,C,61.68,Antioquia,Antioquia,2025-03-30 21:40:41.540111
204,1137427580,A,17.56,Antioquia,Antioquia,2025-03-30 21:40:41.540111
205,1040202237,A,30.15,Antioquia,Antioquia,2025-03-30 21:40:41.540111
206,1118045404,A,25.17,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
207,1111099054,A,2.58,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
208,1112559281,C,58.62,Atlántico,Atlántico,2025-03-30 21:40:41.540111
209,1146287369,B,42.23,Antioquia,Antioquia,2025-03-30 21:40:41.540111
210,1148666926,A,11.11,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
211,1130940060,B,45.13,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
212,1081683816,B,47.89,Atlántico,Atlántico,2025-03-30 21:40:41.540111
213,1106185063,B,44.58,Antioquia,Antioquia,2025-03-30 21:40:41.540111
214,1102241787,A,8.36,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
215,1135918897,A,39.53,Antioquia,Antioquia,2025-03-30 21:40:41.540111
216,1140556958,B,48.87,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
217,1133509293,B,41.07,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
218,1146926608,B,42.09,Antioquia,Antioquia,2025-03-30 21:40:41.540111
219,1089580098,B,49.15,Atlántico,Atlántico,2025-03-30 21:40:41.540111
220,1046477029,B,43.82,Antioquia,Antioquia,2025-03-30 21:40:41.540111
221,1145216615,B,48.87,Antioquia,Antioquia,2025-03-30 21:40:41.540111
222,1116175943,A,10.43,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
223,1117868652,B,48.54,Atlántico,Atlántico,2025-03-30 21:40:41.540111
224,1110714240,B,45.25,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
225,1082541766,D,99.14,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
226,1121819348,A,8.01,Antioquia,Antioquia,2025-03-30 21:40:41.540111
227,1126844596,A,36.93,Atlántico,Atlántico,2025-03-30 21:40:41.540111
228,1116671183,B,54.68,Antioquia,Antioquia,2025-03-30 21:40:41.540111
229,1090234092,A,6.11,Antioquia,Antioquia,2025-03-30 21:40:41.540111
230,1127312188,D,65.97,Atlántico,Atlántico,2025-03-30 21:40:41.540111
231,1139279551,A,30.25,Atlántico,Atlántico,2025-03-30 21:40:41.540111
232,660180,B,49.12,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
233,1125830498,C,59.38,Atlántico,Atlántico,2025-03-30 21:40:41.540111
234,1101068738,A,17.67,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
235,1137198222,B,49.46,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
236,1121906032,A,7.75,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
237,1062101101,C,59.49,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
238,1129497933,B,53.49,Atlántico,Atlántico,2025-03-30 21:40:41.540111
239,1148125327,B,42.72,Antioquia,Antioquia,2025-03-30 21:40:41.540111
240,1126428135,B,43.75,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
241,1100465174,C,55.57,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
242,1068424422,A,25.75,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
243,1133815261,B,46.77,Antioquia,Antioquia,2025-03-30 21:40:41.540111
244,1122373635,B,41.58,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
245,1106040277,B,52.87,Antioquia,Antioquia,2025-03-30 21:40:41.540111
246,1103543182,B,49.46,Atlántico,Atlántico,2025-03-30 21:40:41.540111
247,1119387184,A,19.27,Atlántico,Atlántico,2025-03-30 21:40:41.540111
248,1119136068,B,41.75,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
249,1080613754,B,46.29,Antioquia,Antioquia,2025-03-30 21:40:41.540111
250,1106917175,C,59.16,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
251,1121670883,C,57.43,Antioquia,Antioquia,2025-03-30 21:40:41.540111
252,1107912174,C,62.9,Atlántico,Atlántico,2025-03-30 21:40:41.540111
253,1129314588,C,63.86,Antioquia,Antioquia,2025-03-30 21:40:41.540111
254,1120347428,D,83.83,Antioquia,Antioquia,2025-03-30 21:40:41.540111
255,1116892497,A,30.82,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
256,1244625669,A,33.95,Atlántico,Atlántico,2025-03-30 21:40:41.540111
257,1117884931,C,60.81,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
258,1146364657,D,67.16,Atlántico,Atlántico,2025-03-30 21:40:41.540111
259,1090999238,B,48.31,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
260,1144205490,B,54.21,Atlántico,Atlántico,2025-03-30 21:40:41.540111
261,1132563586,A,26.83,Antioquia,Antioquia,2025-03-30 21:40:41.540111
262,1100375746,C,60.04,Atlántico,Atlántico,2025-03-30 21:40:41.540111
263,1087186992,B,41.94,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
264,1110010358,C,61.85,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
265,1113419486,B,48.08,Atlántico,Atlántico,2025-03-30 21:40:41.540111
266,900991,B,41.36,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
267,1119231739,B,46.47,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
268,1129002003,B,43.14,Antioquia,Antioquia,2025-03-30 21:40:41.540111
269,1117841894,A,9.92,Atlántico,Atlántico,2025-03-30 21:40:41.540111
270,1147356629,D,97.64,Antioquia,Antioquia,2025-03-30 21:40:41.540111
271,1134679143,B,52.43,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
272,1113559853,B,47.62,Antioquia,Antioquia,2025-03-30 21:40:41.540111
273,1133916973,A,31.92,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
274,1122961963,B,50.96,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
275,1118001286,B,41.34,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
276,1121019936,B,41.19,Atlántico,Atlántico,2025-03-30 21:40:41.540111
277,1093672093,B,54.48,Antioquia,Antioquia,2025-03-30 21:40:41.540111
278,1130857785,B,47.2,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
279,1261889176,B,48.8,Atlántico,Atlántico,2025-03-30 21:40:41.540111
280,1115778181,C,59.37,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
281,1131413323,A,1.83,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
282,1117566675,A,6.07,Antioquia,Antioquia,2025-03-30 21:40:41.540111
283,1106407785,B,50.72,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
284,1090276063,B,45.44,Antioquia,Antioquia,2025-03-30 21:40:41.540111
285,1116733032,C,56.04,Atlántico,Atlántico,2025-03-30 21:40:41.540111
286,1112882511,A,26.31,Antioquia,Antioquia,2025-03-30 21:40:41.540111
287,1103126382,C,63.22,Antioquia,Antioquia,2025-03-30 21:40:41.540111
288,1084211273,C,57.75,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
289,1123128633,B,52.0,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
290,1108465880,C,61.15,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
291,1125944800,B,45.82,Atlántico,Atlántico,2025-03-30 21:40:41.540111
292,1105065484,A,22.95,Atlántico,Atlántico,2025-03-30 21:40:41.540111
293,1116640494,A,27.9,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
294,1102241238,A,16.28,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
295,1000899733,C,63.97,Atlántico,Atlántico,2025-03-30 21:40:41.540111
296,1106565761,C,63.82,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
297,1105232023,A,33.21,Antioquia,Antioquia,2025-03-30 21:40:41.540111
298,1110700766,C,64.83,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
299,1105338318,A,26.06,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
300,525645,A,22.59,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
301,1119484606,B,41.26,Atlántico,Atlántico,2025-03-30 21:40:41.540111
302,1100118323,B,42.2,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
303,1120017158,D,96.59,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
304,1101093692,B,44.54,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
305,1117614553,B,49.85,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
306,1118508608,B,51.59,Atlántico,Atlántico,2025-03-30 21:40:41.540111
307,1097250214,B,42.97,Atlántico,Atlántico,2025-03-30 21:40:41.540111
308,1088439117,B,44.15,Atlántico,Atlántico,2025-03-30 21:40:41.540111
309,1119002391,B,49.74,Atlántico,Atlántico,2025-03-30 21:40:41.540111
310,1098619776,B,45.04,Antioquia,Antioquia,2025-03-30 21:40:41.540111
311,1143569036,B,43.12,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
312,1146502936,A,1.99,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
313,1121869558,B,52.92,Antioquia,Antioquia,2025-03-30 21:40:41.540111
314,1110539806,C,63.74,Antioquia,Antioquia,2025-03-30 21:40:41.540111
