matricula_id,cedula,institucion,programa,estado,fecha_inicio,intensidad_horaria
MAT-00000022,1124786556,Colegio Departamental Simón Bolívar,Tecnología en Electrónica,VIGENTE,2025-05-14 21:40:40.811214,38
MAT-00000023,1012256125,Colegio Departamental Simón Bolívar,Tecnología en Contabilidad y Finanzas,INACTIVA,2024-04-19 21:40:40.786681,0
MAT-00000024,1005232752,Colegio Departamental Simón Bolívar,Tecnología en Electrónica,VIGENTE,2025-02-13 21:40:41.309285,25
MAT-00000025,1119568591,SENA Regional Antioquia,Tecnología en Electrónica,VIGENTE,2025-05-14 21:40:40.230398,31
MAT-00000026,1092533789,Centro Educativo Los Pinos,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-04-27 21:40:41.117254,38
MAT-00000027,1100369040,SENA Regional Valle del Cauca,Tecnología en Sistemas,INACTIVA,2025-01-14 21:40:40.996528,0
MAT-00000028,1145695944,Colegio Nacional Loperena,Derecho,VIGENTE,2025-09-11 21:40:39.511979,27
MAT-00000029,1102597089,SENA Regional Antioquia,Arquitectura,VIGENTE,2024-03-20 21:40:38.811872,36
MAT-00000030,1113592618,SENA Regional Atlántico,Administración de Empresas,VIGENTE,2025-11-10 21:40:38.582846,20
MAT-00000031,1111961774,SENA Regional Bogotá,Tecnología en Sistemas,VIGENTE,2024-01-20 21:40:40.630450,32
MAT-00000032,1129453037,Colegio Nacional Loperena,Economía,VIGENTE,2025-06-13 21:40:39.684614,31
MAT-00000033,1103065338,Centro Educativo Los Pinos,Tecnología en Electrónica,VIGENTE,2024-09-22 21:40:41.164386,25
MAT-00000034,1139562152,Colegio Distrital San Francisco,Tecnología en Sistemas,VIGENTE,2024-04-19 21:40:39.194288,32
MAT-00000035,1122144783,Colegio Nacional Loperena,Tecnología en Electrónica,VIGENTE,2025-11-10 21:40:41.269401,35
MAT-00000036,1142667421,Institución Educativa José María Córdoba,Tecnología en Gestión Administrativa,VIGENTE,2025-08-12 21:40:39.540622,26
MAT-00000037,1047957574,Colegio Distrital San Francisco,Medicina,VIGENTE,2024-04-19 21:40:39.000557,38
MAT-00000038,1135330336,SENA Regional Atlántico,Tecnología en Gestión Administrativa,VIGENTE,2024-11-15 21:40:39.379378,37
MAT-00000039,1112359665,SENA Regional Valle del Cauca,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-08-17 21:40:39.299245,22
MAT-00000040,1119467400,SENA Regional Antioquia,Tecnología en Gestión Administrativa,VIGENTE,2024-03-20 21:40:40.265864,25
MAT-00000041,1137117788,SENA Regional Atlántico,Economía,VIGENTE,2024-07-18 21:40:40.254838,30
MAT-00000042,1054531242,Colegio Nacional Loperena,Arquitectura,VIGENTE,2024-05-19 21:40:40.607721,21
MAT-00000043,1010510086,Colegio Nacional Loperena,Tecnología en Sistemas,VIGENTE,2024-02-19 21:40:40.187211,38
MAT-00000044,1132246914,Colegio Nacional Loperena,Tecnología en Sistemas,VIGENTE,2025-07-13 21:40:38.872674,34
MAT-00000045,1140451059,Institución Educativa José María Córdoba,Tecnología en Gestión Administrativa,VIGENTE,2025-03-15 21:40:41.243849,39
MAT-00000046,1125459936,SENA Regional Atlántico,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-12-15 21:40:38.642773,22
MAT-00000047,1103850433,SENA Regional Antioquia,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-06-18 21:40:38.758539,25
MAT-00000048,1141913179,SENA Regional Valle del Cauca,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-03-15 21:40:39.424847,29
MAT-00000049,1144735153,Institución Educativa José María Córdoba,Tecnología en Gestión Administrativa,VIGENTE,2025-09-11 21:40:40.207974,32
MAT-00000050,1146657966,SENA Regional Valle del Cauca,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-06-13 21:40:39.122014,28
MAT-00000051,1143340023,SENA Regional Antioquia,Ingeniería de Sistemas,VIGENTE,2024-03-20 21:40:40.593206,36
MAT-00000052,1145450841,SENA Regional Bogotá,Arquitectura,VIGENTE,2024-05-19 21:40:40.747290,27
MAT-00000053,1142054256,SENA Regional Bogotá,Economía,VIGENTE,2025-09-11 21:40:40.537699,27
MAT-00000054,1075613955,Colegio Departamental Simón Bolívar,Derecho,VIGENTE,2024-04-19 21:40:40.123342,25
MAT-00000055,1114493369,SENA Regional Valle del Cauca,Enfermería,VIGENTE,2024-12-15 21:40:39.546108,34
MAT-00000056,1149875757,Institución Educativa José María Córdoba,Medicina,VIGENTE,2024-09-16 21:40:40.100129,38
MAT-00000057,1090708733,SENA Regional Atlántico,Administración de Empresas,VIGENTE,2025-09-11 21:40:38.967576,25
MAT-00000058,1113575976,SENA Regional Atlántico,Tecnología en Gestión Administrativa,VIGENTE,2025-09-11 21:40:40.400573,24
MAT-00000059,1114306746,Instituto Digital Global,Tecnología en Electrónica,VIGENTE,2024-01-10 21:40:41.188427,22
MAT-00000060,1101269790,Universidad Virtual del Caribe Online,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-06-05 21:40:41.174898,22
MAT-00000061,1113926934,SENA Regional Bogotá,Ingeniería de Sistemas,VIGENTE,2023-12-21 21:40:39.085885,40
MAT-00000062,1128775349,SENA Regional Bogotá,Ingeniería Civil,VIGENTE,2024-08-17 21:40:40.718226,37
MAT-00000063,1147802671,Institución Educativa José María Córdoba,Tecnología en Electrónica,INACTIVA,2024-04-19 21:40:40.336903,0
MAT-00000064,1148517628,SENA Regional Antioquia,Tecnología en Sistemas,VIGENTE,2024-09-16 21:40:40.435627,35
MAT-00000065,1123435346,Colegio Nacional Loperena,Ingeniería Civil,VIGENTE,2024-07-18 21:40:40.211320,34
MAT-00000066,1116994653,SENA Regional Atlántico,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-02-13 21:40:39.294536,40
MAT-00000067,1141484188,Colegio Distrital San Francisco,Tecnología en Gestión Administrativa,VIGENTE,2025-09-11 21:40:39.287583,26
MAT-00000068,1120603559,SENA Regional Valle del Cauca,Tecnología en Sistemas,INACTIVA,2024-01-20 21:40:38.913776,0
MAT-00000069,1269800476,SENA Regional Antioquia,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-10-16 21:40:41.049246,21
MAT-00000070,1085398125,Institución Educativa José María Córdoba,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-02-13 21:40:40.293646,24
MAT-00000071,1137547537,SENA Regional Bogotá,Tecnología en Electrónica,VIGENTE,2025-08-12 21:40:41.233765,23
MAT-00000072,1121474391,Colegio Departamental Simón Bolívar,Medicina,VIGENTE,2025-06-13 21:40:39.767223,27
MAT-00000073,1125860224,SENA Regional Atlántico,Tecnología en Gestión Administrativa,VIGENTE,2024-01-20 21:40:38.886369,39
MAT-00000074,1004823673,Colegio Departamental Simón Bolívar,Derecho,INACTIVA,2023-12-21 21:40:40.795109,0
MAT-00000075,1121089810,SENA Regional Antioquia,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-10-11 21:40:38.885522,29
MAT-00000076,1126909069,SENA Regional Antioquia,Tecnología en Gestión Administrativa,VIGENTE,2025-08-12 21:40:40.606196,28
MAT-00000077,1130684001,Colegio Nacional Loperena,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-04-19 21:40:40.949712,30
MAT-00000078,1147056964,Institución Educativa José María Córdoba,Tecnología en Electrónica,VIGENTE,2024-07-18 21:40:41.267917,24
MAT-00000079,1124496886,Colegio Departamental Simón Bolívar,Tecnología en Electrónica,VIGENTE,2025-09-11 21:40:39.035053,24
MAT-00000080,1102647118,Universidad Virtual del Caribe Online,Tecnología en Gestión Administrativa,VIGENTE,2024-06-21 21:40:41.126713,39
MAT-00000081,1104740903,SENA Regional Antioquia,Ingeniería Civil,VIGENTE,2025-11-10 21:40:39.388486,21
MAT-00000082,1114484642,SENA Regional Bogotá,Tecnología en Electrónica,VIGENTE,2024-08-17 21:40:40.031077,21
MAT-00000083,1141030337,Institución Educativa José María Córdoba,Ingeniería Civil,VIGENTE,2025-10-11 21:40:38.979818,37
MAT-00000084,1126524243,Colegio Distrital San Francisco,Ingeniería de Sistemas,VIGENTE,2025-06-13 21:40:40.353746,28
MAT-00000085,1149812415,Institución Educativa José María Córdoba,Ingeniería Civil,VIGENTE,2025-09-11 21:40:40.928863,27
MAT-00000086,1116175262,SENA Regional Bogotá,Administración de Empresas,VIGENTE,2025-07-13 21:40:39.397845,40
MAT-00000087,1111846369,SENA Regional Bogotá,Administración de Empresas,VIGENTE,2025-03-15 21:40:40.205792,26
MAT-00000088,1126521710,Colegio Distrital San Francisco,Tecnología en Contabilidad y Finanzas,INACTIVA,2023-12-21 21:40:39.495894,0
MAT-00000089,1142733287,SENA Regional Antioquia,Tecnología en Electrónica,VIGENTE,2025-02-13 21:40:39.779468,32
MAT-00000090,1119647828,Academia Superior de Gestión,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-04-01 21:40:41.142797,38
MAT-00000091,1101176880,SENA Regional Antioquia,Tecnología en Gestión Administrativa,VIGENTE,2025-05-14 21:40:39.075500,24
MAT-00000092,1131559931,SENA Regional Valle del Cauca,Enfermería,VIGENTE,2024-02-19 21:40:40.966513,27
MAT-00000093,1144693562,Colegio Nacional Loperena,Tecnología en Electrónica,VIGENTE,2024-09-16 21:40:40.667944,28
MAT-00000094,1145234944,Colegio Departamental Simón Bolívar,Tecnología en Sistemas,VIGENTE,2024-08-17 21:40:40.010698,20
MAT-00000095,1100265655,Centro Educativo Los Pinos,Tecnología en Gestión Administrativa,VIGENTE,2025-08-06 21:40:41.115296,23
MAT-00000096,1101925573,SENA Regional Valle del Cauca,Administración de Empresas,VIGENTE,2025-10-11 21:40:41.274672,20
MAT-00000097,1107141649,Instituto Digital Global,Tecnología en Gestión Administrativa,VIGENTE,2024-06-29 21:40:41.158840,38
MAT-00000098,1088506669,Institución Educativa José María Córdoba,Tecnología en Electrónica,VIGENTE,2025-01-14 21:40:40.013778,31
MAT-00000099,1250185214,SENA Regional Antioquia,Ingeniería Civil,VIGENTE,2024-03-20 21:40:41.019638,39
MAT-00000100,1137427580,SENA Regional Antioquia,Tecnología en Electrónica,VIGENTE,2024-05-19 21:40:38.715688,23
MAT-00000101,1040202237,Colegio Nacional Loperena,Contaduría Pública,VIGENTE,2024-10-16 21:40:39.586598,38
MAT-00000102,1118045404,SENA Regional Atlántico,Tecnología en Sistemas,VIGENTE,2024-06-18 21:40:40.958532,38
MAT-00000103,1111099054,SENA Regional Atlántico,Tecnología en Gestión Administrativa,VIGENTE,2024-05-19 21:40:40.600585,30
MAT-00000104,1146287369,Colegio Distrital San Francisco,Ingeniería de Sistemas,VIGENTE,2024-05-19 21:40:38.759207,32
MAT-00000105,1148666926,Colegio Distrital San Francisco,Arquitectura,VIGENTE,2025-09-11 21:40:40.313500,33
MAT-00000106,1130940060,Colegio Nacional Loperena,Tecnología en Sistemas,INACTIVA,2025-05-14 21:40:40.033430,0
MAT-00000107,1106185063,SENA Regional Valle del Cauca,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-10-16 21:40:40.022908,37
MAT-00000108,1102241787,Academia Superior de Gestión,Tecnología en Electrónica,VIGENTE,2025-10-24 21:40:41.118170,34
MAT-00000109,1135918897,Colegio Departamental Simón Bolívar,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-12-15 21:40:41.271570,25
MAT-00000110,1140556958,Colegio Departamental Simón Bolívar,Tecnología en Electrónica,VIGENTE,2024-05-19 21:40:39.573380,39
MAT-00000111,1133509293,Colegio Departamental Simón Bolívar,Ingeniería Civil,VIGENTE,2024-10-16 21:40:40.612688,34
MAT-00000112,1146926608,Institución Educativa José María Córdoba,Psicología,VIGENTE,2024-07-18 21:40:40.039014,27
MAT-00000113,1046477029,Colegio Departamental Simón Bolívar,Ingeniería Civil,VIGENTE,2024-11-15 21:40:39.329561,21
MAT-00000114,1116175943,SENA Regional Valle del Cauca,Contaduría Pública,VIGENTE,2024-11-15 21:40:38.978487,28
MAT-00000115,1110714240,SENA Regional Atlántico,Tecnología en Electrónica,VIGENTE,2024-10-16 21:40:39.835198,24
MAT-00000116,1139279551,SENA Regional Antioquia,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-03-20 21:40:39.069459,36
MAT-00000117,660180,SENA Regional Antioquia,Psicología,VIGENTE,2024-10-16 21:40:41.052353,34
MAT-00000118,1125830498,Colegio Nacional Loperena,Tecnología en Electrónica,VIGENTE,2025-05-14 21:40:40.455370,23
MAT-00000119,1137198222,SENA Regional Bogotá,Medicina,VIGENTE,2024-11-15 21:40:40.293923,26
MAT-00000120,1121906032,SENA Regional Atlántico,Economía,VIGENTE,2024-03-20 21:40:39.736043,22
MAT-00000121,1062101101,Institución Educativa José María Córdoba,Psicología,VIGENTE,2025-10-11 21:40:38.619805,25
MAT-00000122,1115225492,SENA Regional Bogotá,Tecnología en Sistemas,VIGENTE,2025-11-10 21:40:40.687610,21
MAT-00000123,1129497933,SENA Regional Atlántico,Tecnología en Gestión Administrativa,INACTIVA,2025-05-14 21:40:40.653174,0
MAT-00000124,1148125327,SENA Regional Antioquia,Tecnología en Sistemas,VIGENTE,2024-11-15 21:40:40.896815,22
MAT-00000125,1126428135,SENA Regional Valle del Cauca,Tecnología en Electrónica,VIGENTE,2024-02-19 21:40:39.713979,37
MAT-00000126,1068424422,Colegio Nacional Loperena,Contaduría Pública,VIGENTE,2024-05-19 21:40:40.022580,28
MAT-00000127,1133815261,Colegio Distrital San Francisco,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-07-13 21:40:38.918640,32
MAT-00000128,1122373635,Colegio Departamental Simón Bolívar,Economía,VIGENTE,2024-04-19 21:40:39.053867,23
MAT-00000129,1121670883,Colegio Distrital San Francisco,Tecnología en Sistemas,VIGENTE,2024-08-17 21:40:39.140091,28
MAT-00000130,1129314588,SENA Regional Atlántico,Tecnología en Electrónica,VIGENTE,2025-09-11 21:40:41.263122,31
MAT-00000131,1120347428,SENA Regional Bogotá,Tecnología en Sistemas,VIGENTE,2023-12-21 21:40:40.936809,31
MAT-00000132,1116892497,SENA Regional Antioquia,Ingeniería Civil,VIGENTE,2025-01-14 21:40:40.179638,29
MAT-00000133,1244625669,SENA Regional Bogotá,Tecnología en Gestión Administrativa,VIGENTE,2024-01-20 21:40:41.047392,33
MAT-00000134,1146364657,Colegio Departamental Simón Bolívar,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-07-18 21:40:40.683348,30
MAT-00000135,1144205490,Colegio Distrital San Francisco,Tecnología en Contabilidad y Finanzas,INACTIVA,2024-01-20 21:40:39.895894,0
MAT-00000136,1132563586,Colegio Departamental Simón Bolívar,Arquitectura,VIGENTE,2024-02-19 21:40:41.288666,30
MAT-00000137,1087186992,SENA Regional Antioquia,Ingeniería de Sistemas,VIGENTE,2025-03-15 21:40:38.605079,20
MAT-00000138,1110010358,SENA Regional Antioquia,Tecnología en Electrónica,VIGENTE,2024-04-19 21:40:39.168381,31
MAT-00000139,1119231739,SENA Regional Atlántico,Economía,VIGENTE,2025-02-13 21:40:41.252939,27
MAT-00000140,1129002003,Colegio Departamental Simón Bolívar,Tecnología en Sistemas,VIGENTE,2025-04-14 21:40:40.953409,28
MAT-00000141,1117841894,SENA Regional Atlántico,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-03-20 21:40:39.420649,40
MAT-00000142,1147356629,SENA Regional Valle del Cauca,Tecnología en Sistemas,INACTIVA,2025-07-13 21:40:38.647535,0
MAT-00000143,1134679143,Colegio Distrital San Francisco,Tecnología en Electrónica,VIGENTE,2025-04-14 21:40:38.550103,33
MAT-00000144,1113559853,SENA Regional Valle del Cauca,Administración de Empresas,VIGENTE,2024-06-18 21:40:40.210297,36
MAT-00000145,1133916973,Colegio Departamental Simón Bolívar,Tecnología en Sistemas,VIGENTE,2025-05-14 21:40:38.719124,23
MAT-00000146,1122961963,Colegio Nacional Loperena,Medicina,VIGENTE,2025-03-15 21:40:40.997970,35
MAT-00000147,1121019936,SENA Regional Valle del Cauca,Tecnología en Gestión Administrativa,VIGENTE,2024-05-19 21:40:40.314873,38
MAT-00000148,1130857785,SENA Regional Bogotá,Tecnología en Electrónica,VIGENTE,2024-10-16 21:40:40.969560,27
MAT-00000149,1115778181,Instituto Digital Global,Economía,VIGENTE,2024-12-15 21:40:41.177258,26
MAT-00000150,1131413323,SENA Regional Antioquia,Tecnología en Electrónica,VIGENTE,2025-08-12 21:40:41.287540,24
MAT-00000151,1106407785,SENA Regional Antioquia,Tecnología en Electrónica,VIGENTE,2025-06-13 21:40:39.123951,32
MAT-00000152,1112882511,SENA Regional Valle del Cauca,Medicina,VIGENTE,2024-03-20 21:40:38.896814,40
MAT-00000153,1103126382,SENA Regional Valle del Cauca,Contaduría Pública,VIGENTE,2025-01-14 21:40:40.454497,27
MAT-00000154,1084211273,SENA Regional Valle del Cauca,Arquitectura,VIGENTE,2025-03-15 21:40:39.249799,23
MAT-00000155,1123128633,Colegio Departamental Simón Bolívar,Medicina,VIGENTE,2025-02-13 21:40:38.925029,34
MAT-00000156,1108465880,SENA Regional Valle del Cauca,Tecnología en Sistemas,VIGENTE,2025-06-13 21:40:40.110780,38
MAT-00000157,1125944800,Institución Educativa José María Córdoba,Derecho,VIGENTE,2025-01-14 21:40:40.652529,23
MAT-00000158,1102241238,SENA Regional Bogotá,Medicina,VIGENTE,2025-04-14 21:40:38.633344,20
MAT-00000159,1000899733,Colegio Nacional Loperena,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-11-10 21:40:39.034504,20
MAT-00000160,1122945911,Colegio Nacional Loperena,Enfermería,VIGENTE,2024-06-18 21:40:38.570749,29
MAT-00000161,1100118323,SENA Regional Valle del Cauca,Ingeniería Civil,VIGENTE,2025-05-14 21:40:38.893555,39
MAT-00000162,1120017158,Institución Educativa José María Córdoba,Ingeniería Civil,VIGENTE,2025-08-12 21:40:40.210410,33
MAT-00000163,1117614553,SENA Regional Antioquia,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-12-15 21:40:38.886480,39
MAT-00000164,1143569036,SENA Regional Valle del Cauca,Tecnología en Sistemas,VIGENTE,2025-01-14 21:40:38.979033,37
MAT-00000165,1146502936,Colegio Departamental Simón Bolívar,Ingeniería Civil,VIGENTE,2025-03-15 21:40:39.589224,21
MAT-00000166,1121869558,SENA Regional Bogotá,Ingeniería Civil,VIGENTE,2025-08-12 21:40:39.895496,28
MAT-00000167,1110539806,SENA Regional Valle del Cauca,Tecnología en Gestión Administrativa,VIGENTE,2024-03-20 21:40:40.424222,31
MAT-00000168,1133122969,Colegio Distrital San Francisco,Enfermería,VIGENTE,2024-02-19 21:40:39.290757,36
MAT-00000169,1146896179,Colegio Nacional Loperena,Ingeniería de Sistemas,VIGENTE,2024-07-18 21:40:40.326194,33
MAT-00000170,1114831002,SENA Regional Atlántico,Contaduría Pública,VIGENTE,2024-09-16 21:40:39.871869,22
MAT-00000171,1050418908,Colegio Nacional Loperena,Enfermería,VIGENTE,2025-02-13 21:40:39.129151,33
MAT-00000172,1122011800,Colegio Departamental Simón Bolívar,Tecnología en Sistemas,VIGENTE,2024-10-16 21:40:38.904613,33
MAT-00000173,1145181646,Colegio Nacional Loperena,Ingeniería de Sistemas,VIGENTE,2024-12-15 21:40:39.143218,34
MAT-00000174,1100352371,SENA Regional Valle del Cauca,Arquitectura,VIGENTE,2024-04-19 21:40:39.194178,25
MAT-00000175,1110763411,SENA Regional Antioquia,Ingeniería Civil,VIGENTE,2024-05-19 21:40:40.456301,21
MAT-00000176,1134767653,SENA Regional Bogotá,Tecnología en Gestión Administrativa,VIGENTE,2024-07-18 21:40:39.828924,39
MAT-00000177,1002334045,Colegio Distrital San Francisco,Psicología,VIGENTE,2024-02-19 21:40:38.989936,37
MAT-00000178,1016529854,Colegio Nacional Loperena,Tecnología en Gestión Administrativa,VIGENTE,2024-09-16 21:40:39.358860,34
MAT-00000179,1091743614,SENA Regional Antioquia,Ingeniería de Sistemas,VIGENTE,2025-10-11 21:40:39.404595,30
MAT-00000180,1146802696,Colegio Departamental Simón Bolívar,Economía,VIGENTE,2025-11-10 21:40:40.628220,39
MAT-00000181,1131630472,Institución Educativa José María Córdoba,Tecnología en Contabilidad y Finanzas,VIGENTE,2025-07-13 21:40:40.160734,35
MAT-00000182,1146098502,SENA Regional Atlántico,Medicina,VIGENTE,2024-07-18 21:40:38.713230,39
MAT-00000183,1088237348,Colegio Departamental Simón Bolívar,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-09-16 21:40:38.581903,27
MAT-00000184,1128496653,Colegio Nacional Loperena,Tecnología en Electrónica,VIGENTE,2024-08-17 21:40:39.011351,22
MAT-00000185,1128413892,Colegio Departamental Simón Bolívar,Tecnología en Electrónica,VIGENTE,2024-11-15 21:40:38.886258,23
MAT-00000186,1096670551,Universidad Virtual del Caribe Online,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-11-10 21:40:41.142447,21
MAT-00000187,1143281983,Colegio Departamental Simón Bolívar,Tecnología en Gestión Administrativa,VIGENTE,2025-05-14 21:40:39.463092,26
MAT-00000188,1122399393,SENA Regional Bogotá,Tecnología en Electrónica,VIGENTE,2024-07-18 21:40:38.862627,34
MAT-00000189,1147165248,Colegio Distrital San Francisco,Medicina,VIGENTE,2025-02-13 21:40:38.663313,24
MAT-00000190,1081363141,SENA Regional Antioquia,Enfermería,VIGENTE,2024-04-19 21:40:39.219782,39
MAT-00000191,1104614791,SENA Regional Bogotá,Psicología,INACTIVA,2025-07-13 21:40:40.666592,0
MAT-00000192,1123423911,Colegio Departamental Simón Bolívar,Administración de Empresas,VIGENTE,2024-12-15 21:40:40.979313,30
MAT-00000193,1085808837,Institución Educativa José María Córdoba,Tecnología en Electrónica,VIGENTE,2024-09-16 21:40:39.915064,27
MAT-00000194,1114744632,SENA Regional Atlántico,Tecnología en Gestión Administrativa,VIGENTE,2023-12-21 21:40:41.255047,26
MAT-00000195,1131800858,Colegio Departamental Simón Bolívar,Medicina,VIGENTE,2025-09-11 21:40:38.940352,25
MAT-00000196,1131880165,Colegio Distrital San Francisco,Tecnología en Electrónica,VIGENTE,2024-09-16 21:40:39.056992,37
MAT-00000197,1143596173,SENA Regional Antioquia,Enfermería,VIGENTE,2025-05-14 21:40:40.045941,24
MAT-00000198,1108971957,SENA Regional Antioquia,Tecnología en Gestión Administrativa,VIGENTE,2025-04-14 21:40:40.076555,30
MAT-00000199,1149988076,Institución Educativa José María Córdoba,Tecnología en Electrónica,VIGENTE,2024-10-16 21:40:39.805451,22
MAT-00000200,1120827762,Universidad Virtual del Caribe Online,Tecnología en Contabilidad y Finanzas,VIGENTE,2023-12-21 21:40:41.114553,30
MAT-00000201,1142795652,Colegio Departamental Simón Bolívar,Contaduría Pública,VIGENTE,2024-09-16 21:40:40.193500,37
MAT-00000202,1110402796,Academia Superior de Gestión,Tecnología en Electrónica,VIGENTE,2024-05-04 21:40:41.153499,39
MAT-00000203,1115009694,SENA Regional Bogotá,Administración de Empresas,VIGENTE,2024-10-16 21:40:39.142815,37
MAT-00000204,1132741968,Colegio Distrital San Francisco,Tecnología en Gestión Administrativa,VIGENTE,2025-07-13 21:40:39.721152,26
MAT-00000205,1143305568,SENA Regional Atlántico,Tecnología en Gestión Administrativa,VIGENTE,2025-03-15 21:40:38.830393,31
MAT-00000206,1139815812,Institución Educativa José María Córdoba,Tecnología en Electrónica,VIGENTE,2024-10-16 21:40:38.579216,32
MAT-00000207,1136786925,Institución Educativa José María Córdoba,Economía,VIGENTE,2024-02-19 21:40:40.410224,26
MAT-00000208,1140944056,SENA Regional Bogotá,Tecnología en Sistemas,VIGENTE,2024-06-18 21:40:41.292564,39
MAT-00000209,1139145675,SENA Regional Bogotá,Economía,VIGENTE,2025-10-11 21:40:40.168018,22
MAT-00000210,1110322177,Academia Superior de Gestión,Tecnología en Gestión Administrativa,VIGENTE,2024-08-21 21:40:41.184845,26
MAT-00000211,1141914113,Institución Educativa José María Córdoba,Tecnología en Sistemas,INACTIVA,2025-08-12 21:40:40.029817,0
MAT-00000212,1101334223,SENA Regional Atlántico,Arquitectura,VIGENTE,2025-05-14 21:40:40.528840,37
MAT-00000213,1108092253,SENA Regional Valle del Cauca,Arquitectura,VIGENTE,2025-05-14 21:40:40.069163,38
MAT-00000214,1035435061,Colegio Nacional Loperena,Tecnología en Gestión Administrativa,VIGENTE,2025-08-12 21:40:40.613306,22
MAT-00000215,1129646874,Colegio Nacional Loperena,Tecnología en Gestión Administrativa,VIGENTE,2025-09-11 21:40:39.762941,23
MAT-00000216,1130033473,SENA Regional Atlántico,Arquitectura,VIGENTE,2025-08-12 21:40:39.996596,37
MAT-00000217,1144224390,Colegio Departamental Simón Bolívar,Administración de Empresas,VIGENTE,2024-10-16 21:40:40.861593,33
MAT-00000218,1133977953,SENA Regional Atlántico,Ingeniería Civil,VIGENTE,2025-10-11 21:40:38.805209,35
MAT-00000219,1118655865,SENA Regional Valle del Cauca,Arquitectura,VIGENTE,2024-10-16 21:40:40.518880,24
MAT-00000220,1129165773,SENA Regional Bogotá,Tecnología en Electrónica,VIGENTE,2024-11-15 21:40:38.866499,33
